Count,RA,Dec,LoTSS name,BZCAT name,3FGL name,Class,z,z source,S 144 MHz (Jy),S 144 MHz (Jy) error,alpha,alpha error,S GeV (ph cm-2 s-1 MeV-1),S GeV (ph cm-2 s-1 MeV-1) error,Gamma (power-law),Gamma error (power-law),
1,161.600121,53.907374,ILTJ104624.03+535426.5,5BZQJ1046+5354,,FSRQ,1.71169996261597,LDR1 spectroscopic,0.130291,0.02606,-0.027078,0.1735067,,,,,
2,161.940807,54.627993,ILTJ104745.79+543740.7,5BZBJ1047+5437,,BL Lac Candidate,0.621559858322144,LDR1 spectroscopic,0.003991,0.000798,0.205699,0.2,,,,,
3,162.816848,46.738246,ILTJ105116.04+464417.6,5BZUJ1051+4644,,Uncertain,1.41942,NED,0.718264,0.151642,-0.408,0.1348759,,,,,
4,163.488478,54.031036,ILTJ105357.23+540151.7,5BZQJ1053+5401,,FSRQ,0.998468279838562,LDR1 spectroscopic,0.99193,0.198431,-0.608144,0.1250353,,,,,
5,164.656869,56.469764,ILTJ105837.65+562811.1,5BZBJ1058+5628,3FGL J1058.6+5627,BL Lac,0.143243283033371,LDR1 spectroscopic,0.172842,0.034573,0.09156,0.1325855,2.2732E-12,7.5184E-14,1.94519,0.0254753,
6,166.279471,46.888549,ILTJ110507.07+465318.7,5BZGJ1105+4653,,Galaxy-dominated BL Lac,0.112466782331467,LDR1 spectroscopic,0.072717,0.014547,-0.192056,0.198766,,,,,
7,166.76993,50.17706,ILTJ110704.78+501037.4,5BZBJ1107+5010,,BL Lac,0.706211566925049,LDR1 spectroscopic,0.035023,0.007005,0.103214,0.262016,,,,,
8,166.857565,52.325458,ILTJ110725.82+521931.6,5BZQJ1107+5219,,FSRQ,0.945235073566437,LDR1 spectroscopic,0.04736,0.009472,0.637144,0.206576,,,,,
9,167.773752,52.463669,ILTJ111105.70+522749.2,5BZQJ1111+5227,,FSRQ,1.28400003910065,LDR1 spectroscopic,0.456045,0.091216,-0.634099,0.1158691,,,,,
10,169.488205,53.931894,ILTJ111757.17+535554.8,5BZBJ1117+5355,3FGL J1117.9+5355,BL Lac,2.95250630378723,LDR1 spectroscopic,0.016435,0.003287,-0.128114,0.1114008,1.5212E-13,1.5658E-14,1.93039,0.0757293,
11,170.095916,54.074222,ILTJ112023.02+540427.2,5BZQJ1120+5404,,FSRQ,0.922699987888336,LDR1 spectroscopic,1.024579,0.204954,-0.612648,0.1182302,,,,,
12,171.056412,51.563419,ILTJ112413.54+513348.3,5BZGJ1124+5133,,Galaxy-dominated BL Lac,0.234989732503891,LDR1 spectroscopic,0.086744,0.017358,-0.272137,0.220531,,,,,
13,171.224277,49.56941,ILTJ112453.83+493409.8,5BZBJ1124+4934,3FGL J1124.9+4932,BL Lac,0.907682120800018,LDR1 spectroscopic,0.017205,0.003441,0.0403163,0.1241418,1.6775E-14,3.4131E-15,1.8031,0.154137,
14,174.509231,48.981876,ILTJ113802.22+485854.7,,3FGL J1138.2+4905,Uncertain,1.30456280708313,LDR1 spectroscopic,0.017348,0.003473,0.381433,0.10865423,3.9782E-12,7.0962E-13,2.85049,0.181572,
15,174.589363,47.755044,ILTJ113821.45+474518.1,5BZQJ1138+4745,,FSRQ,0.770299971103668,LDR1 spectroscopic,0.968228,0.193666,-0.524534,0.1338018,,,,,
16,175.199387,46.366832,ILTJ114047.85+462200.6,5BZQJ1140+4622,,FSRQ,0.114900000393391,LDR1 spectroscopic,0.182175,0.036447,-0.325909,0.1680265,,,,,
17,175.988012,51.041951,ILTJ114357.12+510231.0,5BZBJ1143+5102,,BL Lac,,,0.091423,0.018287,-0.432367,0.258315,,,,,
18,176.684008,53.945298,ILTJ114644.16+535643.0,5BZQJ1146+5356,,FSRQ,2.20900011062622,LDR1 spectroscopic,0.410882,0.082182,0.0228028,0.1534019,,,,,
19,177.235842,52.906973,ILTJ114856.60+525425.1,5BZQJ1148+5254,,FSRQ,1.63189995288849,LDR1 spectroscopic,0.220729,0.044209,-0.384159,0.1342716,,,,,
20,177.500649,55.47248,ILTJ115000.16+552820.9,5BZGJ1150+5528,,Galaxy-dominated BL Lac,0.138498589396477,LDR1 spectroscopic,0.156376,0.031276,0.00521388,0.1549612,,,,,
21,178.139215,49.660091,ILTJ115233.41+493936.3,5BZQJ1152+4939,,FSRQ,1.09309995174408,LDR1 spectroscopic,0.626207,0.125469,-0.797445,0.1358624,,,,,
22,178.351974,49.519345,ILTJ115324.47+493109.6,5BZQJ1153+4931,3FGL J1153.4+4932,FSRQ,0.333640038967133,LDR1 spectroscopic,6.651386,1.330517,-0.677925,0.1294216,1.4486E-11,4.8124E-13,2.37854,0.0302355,
23,179.611407,48.421098,ILTJ115826.74+482515.9,5BZQJ1158+4825,,FSRQ,2.03552794456482,LDR1 spectroscopic,0.399467,0.079897,-0.209598,0.1737135,,,,,
24,180.191246,47.973316,ILTJ120045.90+475823.9,5BZGJ1200+4758,,Galaxy-dominated BL Lac,0.26950991153717,LDR1 spectroscopic,0.289955,0.058047,-0.880241,0.1310447,,,,,
25,180.877599,48.052322,ILTJ120330.62+480308.3,5BZQJ1203+4803,,FSRQ,0.343002259731293,LDR1 spectroscopic,0.076826,0.015391,-0.0329964,0.211284,,,,,
26,180.881573,54.502488,ILTJ120331.58+543008.9,5BZBJ1203+5430,,BL Lac,0.477553367614746,LDR1 spectroscopic,0.171501,0.034311,-0.339476,0.13151,,,,,
27,182.226107,54.699613,ILTJ120854.27+544158.6,5BZQJ1208+5441,3FGL J1208.7+5442,FSRQ,1.343,BZCAT,0.325345,0.065074,0.145797,0.214855,2.0066E-11,7.1209E-13,2.54326,0.0350327,
28,183.253203,51.493158,ILTJ121300.77+512935.3,5BZBJ1213+5129,3FGL J1212.6+5135,BL Lac,0.7957,NED,0.111982,0.022445,-0.490954,0.1726958,1.3790E-13,2.8507E-14,2.19112,0.149619,
29,183.752901,50.037853,ILTJ121500.70+500216.2,5BZBJ1215+5002,3FGL J1215.0+5002,BL Lac,1.545,NED,0.057343,0.011469,0.221549,0.1492251,5.8392E-14,8.8309E-15,1.91944,0.111238,
30,183.79149,46.454279,ILTJ121509.96+462715.4,5BZQJ1215+4627,,FSRQ,0.720099985599518,LDR1 spectroscopic,0.98716,0.197526,-0.573116,0.1162622,,,,,
31,184.402825,51.919516,ILTJ121736.68+515510.2,5BZQJ1217+5155,,FSRQ,2.22499990463257,LDR1 spectroscopic,0.078851,0.015771,-0.00927514,0.182707,,,,,
32,184.776916,48.499021,ILTJ121906.46+482956.4,5BZQJ1219+4829,,FSRQ,1.07093048095703,LDR1 spectroscopic,0.678417,0.135695,-0.016574,0.1567118,,,,,
33,185.282548,47.708018,ILTJ122107.81+474228.8,5BZGJ1221+4742,,Galaxy-dominated BL Lac,0.209778130054474,LDR1 spectroscopic,0.113756,0.022766,-0.501167,0.1934461,,,,,
34,185.912332,46.188986,ILTJ122338.96+461120.3,5BZQJ1223+4611,,FSRQ,1.01199996471405,LDR1 spectroscopic,0.51649,0.103384,-0.220671,0.161986,,,,,
35,185.970166,46.846568,ILTJ122352.84+465047.6,5BZGJ1223+4650,,Galaxy-dominated BL Lac,0.260507881641388,LDR1 spectroscopic,0.011758,0.002355,0.0286287,0.2,,,,,
36,186.04125,50.032069,ILTJ122409.90+500155.4,5BZQJ1224+5001,3FGL J1224.5+4957,FSRQ,1.06470000743866,LDR1 spectroscopic,0.048312,0.009663,-0.0532938,0.1318742,6.0833E-13,1.0132E-13,2.46324,0.130673,
37,186.277633,48.576511,ILTJ122506.63+483435.4,5BZUJ1225+4834,,Uncertain,0.646899998188019,LDR1 spectroscopic,0.393029,0.078606,-0.756833,0.1278759,,,,,
38,186.982246,49.549112,ILTJ122755.74+493256.8,5BZQJ1227+4932,,FSRQ,0.550511002540588,LDR1 spectroscopic,0.256451,0.051296,-0.118962,0.1729902,,,,,
39,187.215764,48.967037,ILTJ122851.78+485801.3,5BZQJ1228+4858,3FGL J1228.7+4857,FSRQ,1.72210001945496,LDR1 spectroscopic,1.193511,0.238714,-0.553569,0.1269873,2.5342E-13,4.0649E-14,2.36479,0.123722,
40,188.144944,48.359178,ILTJ123234.79+482133.0,5BZQJ1232+4821,,FSRQ,1.588,BZCAT,0.655936,0.135577,-0.383223,0.1348216,,,,,
41,188.454997,50.439943,ILTJ123349.20+502623.8,5BZGJ1233+5026,,Galaxy-dominated BL Lac,0.206843063235283,LDR1 spectroscopic,0.996545,0.199317,-0.577314,0.1106683,,,,,
42,188.555614,47.897647,ILTJ123413.35+475351.5,5BZQJ1234+4753,,FSRQ,0.373618602752686,LDR1 spectroscopic,0.255317,0.051065,0.133892,0.1544712,,,,,
43,188.878317,52.474719,ILTJ123530.80+522828.9,5BZQJ1235+5228,,FSRQ,1.65311515331268,LDR1 spectroscopic,0.061226,0.012447,0.246957,0.177436,,,,,
44,189.532619,53.431541,ILTJ123807.83+532553.5,5BZUJ1238+5325,,Uncertain,0.346799999475479,LDR1 spectroscopic,0.577781,0.11564,-0.505726,0.210082,,,,,
45,189.629331,54.114188,ILTJ123831.04+540651.0,5BZGJ1238+5406,,Galaxy-dominated BL Lac,0.223704591393471,LDR1 spectroscopic,0.112271,0.022459,-0.399245,0.152981,,,,,
46,190.784689,52.213247,ILTJ124308.33+521247.6,5BZGJ1243+5212,,Galaxy-dominated BL Lac,0.199839666485786,LDR1 spectroscopic,0.148132,0.029637,-0.236121,0.288033,,,,,
47,192.142403,51.468464,ILTJ124834.18+512806.4,5BZBJ1248+5128,3FGL J1248.0+5130,BL Lac,0.350674271583557,LDR1 spectroscopic,0.281542,0.056455,-0.406311,0.1242799,7.9229E-14,1.7536E-14,2.16344,0.170292,
48,193.30064,53.020266,ILTJ125312.15+530112.9,5BZBJ1253+5301,3FGL J1253.2+5300,BL Lac,0.178,NED,1.172125,0.234978,-0.451634,0.1418681,2.7418E-12,1.1695E-13,1.99546,,0.0459097
49,194.161109,53.573331,ILTJ125638.67+533423.9,,3FGL J1256.7+5328,Uncertain,0.5914,LDR1 photometric,0.530367,0.10609,-0.480468,0.1336233,1.4329E-12,2.5032E-13,2.63863,0.124597,
50,194.604893,51.706896,ILTJ125825.17+514224.8,,3FGL J1258.7+5137,Uncertain,0.4414,LDR1 photometric,0.217247,0.04345,-0.392351,0.261174,5.1934E-14,1.2548E-14,2.15876,0.188505,
51,195.135991,53.853585,ILTJ130032.64+535112.9,5BZBJ1300+5351,,BL Lac,0.643508732318878,LDR1 spectroscopic,0.095127,0.019036,-0.469323,0.1603312,,,,,
52,195.171868,50.493486,ILTJ130041.25+502936.5,5BZQJ1300+5029,,FSRQ,1.56404936313629,LDR1 spectroscopic,0.838978,0.167836,-0.333585,0.1301475,,,,,
53,195.571269,48.321771,ILTJ130217.10+481918.3,5BZQJ1302+4819,,FSRQ,0.874457955360413,LDR1 spectroscopic,0.171216,0.034267,-0.0900907,0.224494,,,,,
54,195.730643,50.938323,ILTJ130255.35+505617.9,5BZBJ1302+5056,,BL Lac,0.685827612876892,LDR1 spectroscopic,0.002858,0.000572,-0.0675796,0.2,,,,,
55,196.513726,55.495609,ILTJ130603.29+552944.1,5BZQJ1306+5529,,FSRQ,1.60020005702972,LDR1 spectroscopic,0.142148,0.028432,-0.0677158,0.1330815,,,,,
56,196.624684,47.692345,ILTJ130629.92+474132.4,5BZQJ1306+4741,,FSRQ,2.54299998283386,LDR1 spectroscopic,0.05209,0.01042,-0.0112817,0.1517777,,,,,
57,197.213143,47.498457,ILTJ130851.15+472954.4,5BZQJ1308+4729,,FSRQ,0.884199976921081,LDR1 spectroscopic,0.331518,0.066309,-0.650213,0.1342044,,,,,
58,197.289151,55.959588,ILTJ130909.40+555734.5,5BZQJ1309+5557,,FSRQ,1.6308000087738,LDR1 spectroscopic,0.291565,0.058357,-0.0342645,0.205365,,,,,
59,197.722941,46.897592,ILTJ131053.51+465351.3,5BZQJ1310+4653,,FSRQ,1.0425,LDR1 photometric,0.073629,0.014727,0.234718,0.10931458,,,,,
60,197.762372,55.231595,ILTJ131102.97+551353.7,5BZQJ1311+5513,3FGL J1310.7+5515,FSRQ,0.925999999046326,LDR1 spectroscopic,0.586881,0.11753,-0.182057,0.1687517,9.0858E-13,1.5519E-13,2.52721,0.13754,
61,198.043184,48.1564,ILTJ131210.36+480923.0,5BZQJ1312+4809,,FSRQ,0.715099990367889,LDR1 spectroscopic,0.551956,0.11042,-0.48652,0.1707019,,,,,
62,198.180562,48.475364,ILTJ131243.33+482831.3,5BZUJ1312+4828,3FGL J1312.7+4828,Uncertain,0.4889,LDR1 photometric,0.473652,0.094827,-0.282938,0.1482491,2.5887E-11,7.4708E-13,2.13116,,0.032311
63,199.876209,48.850909,ILTJ131930.29+485103.2,5BZQJ1319+4851,,FSRQ,1.16777038574219,LDR1 spectroscopic,0.001277,0.000255,1.20967,0.2,,,,,
64,201.122258,47.722542,ILTJ132429.34+474321.1,5BZQJ1324+4743,,FSRQ,2.26,BZCAT,0.227217,0.045472,-0.0940078,0.1362604,,,,,
65,201.854737,50.146967,ILTJ132725.14+500849.0,5BZQJ1327+5008,,FSRQ,1.02537035942078,LDR1 spectroscopic,0.786243,0.157297,-0.433595,0.11826,,,,,
66,202.520648,54.247706,ILTJ133004.96+541451.7,5BZQJ1330+5414,,FSRQ,0.838599979877472,LDR1 spectroscopic,0.362456,0.074061,-0.647246,0.1408635,,,,,
67,202.677516,52.037599,ILTJ133042.60+520215.3,5BZUJ1330+5202,3FGL J1330.9+5201,Uncertain,0.7828,LDR1 photometric,0.007908,0.001582,1.02708,0.2,7.2404E-14,1.5104E-14,2.24875,0.202253,
68,203.188697,47.372615,ILTJ133245.29+472221.4,5BZQJ1332+4722,3FGL J1331.8+4718,FSRQ,0.668727993965149,LDR1 spectroscopic,0.213116,0.042626,0.085376,0.1703369,2.0538E-12,2.6087E-13,2.52875,0.104183,
69,203.474375,50.959978,ILTJ133353.85+505735.9,5BZUJ1333+5057,3FGL J1333.7+5057,Uncertain,1.362,BZCAT,0.068394,0.013681,-0.156339,0.1537645,2.3410E-12,1.9602E-13,2.49622,0.0711557,
70,203.654959,56.529912,ILTJ133437.19+563147.6,5BZQJ1334+5631,,FSRQ,0.342900007963181,LDR1 spectroscopic,0.713536,0.142723,-0.624192,0.1166432,,,,,
71,204.45688,55.017399,ILTJ133749.65+550102.6,5BZQJ1337+5501,,FSRQ,1.09940004348755,LDR1 spectroscopic,0.586114,0.117295,0.0253057,0.1299219,,,,,
72,205.400755,55.243832,ILTJ134136.18+551437.8,5BZBJ1341+5514,3FGL J1341.5+5517,BL Lac,0.20699554681778,LDR1 spectroscopic,0.053513,0.010704,-0.0992342,0.1718869,6.1212E-13,1.1176E-13,2.56302,0.168561,
73,206.439252,53.548524,ILTJ134545.42+533254.6,5BZUJ1345+5332,,Uncertain,0.135611906647682,LDR1 spectroscopic,1.334171,0.267009,-0.504443,0.1461745,,,,,
74,207.394163,53.688067,ILTJ134934.60+534117.0,5BZQJ1349+5341,,FSRQ,0.97869998216629,LDR1 spectroscopic,2.233229,0.446736,-0.305072,0.1403287,,,,,
75,207.992576,55.702997,ILTJ135158.22+554210.7,5BZBJ1351+5542,,BL Lac,0.224198043346405,LDR1 spectroscopic,0.03538,0.007076,0.520689,0.21612,,,,,
76,208.366892,56.015809,ILTJ135328.05+560056.9,5BZBJ1353+5600,,BL Lac,0.404251664876938,LDR1 spectroscopic,0.017139,0.003428,-0.0425487,0.1688557,,,,,
77,209.773803,55.741439,ILTJ135905.71+554429.1,5BZQJ1359+5544,3FGL J1359.0+5544,FSRQ,1.01300001144409,LDR1 spectroscopic,0.096486,0.019298,0.462816,0.406357,5.8885E-12,4.1769E-13,2.5926,0.0681649,
78,213.903322,48.508372,ILTJ141536.80+483030.1,5BZBJ1415+4830,3FGL J1415.2+4832,BL Lac,0.496136873960495,LDR1 spectroscopic,0.020887,0.004178,0.244224,0.301643,1.8918E-12,2.9292E-13,2.66851,0.155441,
79,214.281187,46.11776,ILTJ141707.48+460703.9,5BZQJ1417+4607,,FSRQ,1.55396,BZCAT,2.98776,0.597638,-0.504351,0.1288813,,,,,
80,214.939704,54.387341,ILTJ141945.53+542314.4,5BZBJ1419+5423,3FGL J1419.9+5425,BL Lac,0.152479350566864,LDR1 spectroscopic,0.639542,0.128086,0.0946248,0.1710049,1.6156E-12,1.1132E-13,2.30749,0.0618316,
81,215.086649,46.412448,ILTJ142020.80+462444.8,5BZQJ1420+4624,,FSRQ,1.24430000782013,LDR1 spectroscopic,0.006293,0.001259,0.868762,0.2,,,,,
82,215.346061,46.763346,ILTJ142123.05+464548.0,5BZQJ1421+4645,,FSRQ,1.66939997673035,LDR1 spectroscopic,0.037736,0.008016,0.52024,0.1981587,,,,,
83,215.775784,48.036404,ILTJ142306.19+480211.0,5BZQJ1423+4802,,FSRQ,2.23200011253357,LDR1 spectroscopic,0.397047,0.079414,-0.0193133,0.1316484,,,,,
84,216.873141,54.155871,ILTJ142729.55+540921.1,5BZGJ1427+5409,,Galaxy-dominated BL Lac,0.105999328196049,LDR1 spectroscopic,0.127616,0.025527,-0.457694,0.1386811,,,,,
85,217.341103,54.103115,ILTJ142921.86+540611.2,5BZQJ1429+5406,,FSRQ,3.02999997138977,LDR1 spectroscopic,3.550344,0.710181,-0.576002,0.1316,,,,,
86,219.239702,56.656725,ILTJ143657.53+563924.2,5BZBJ1436+5639,3FGL J1436.8+5639,BL Lac,0.756359577178955,LDR1 spectroscopic,0.051627,0.010422,-0.391065,0.1690989,7.0040E-14,9.6328E-15,1.98495,0.126828,
87,219.319563,47.29049,ILTJ143716.70+471725.7,5BZBJ1437+4717,,BL Lac,0.943984508514404,LDR1 spectroscopic,0.468301,0.093684,-0.737847,0.1319043,,,,,
88,219.942255,46.053169,ILTJ143946.14+460311.4,5BZBJ1439+4603,,BL Lac,1.02323734760284,LDR1 spectroscopic,0.184676,0.036947,-0.11832,0.1170597,,,,,
89,219.946582,49.968528,ILTJ143947.18+495806.7,5BZBJ1439+4958,3FGL J1440.1+4955,BL Lac,0.174,NED,0.218482,0.046385,-0.265016,0.145096,3.4532E-12,3.7017E-13,2.60174,0.104645,
90,220.756355,52.027279,ILTJ144301.53+520138.2,,3FGL J1442.6+5156,Radio galaxy,0.141208112239838,LDR1 spectroscopic,14.097774,2.820782,-0.776728,0.1204678,1.8277E-14,5.1422E-15,1.91176,0.184057,
91,222.750341,52.019887,ILTJ145100.08+520111.5,5BZBJ1450+5201,3FGL J1450.9+5200,BL Lac,2.471,3LAC,0.069268,0.013858,0.309803,0.339649,2.4138E-13,3.2880E-14,2.17736,0.09389,
